순번,분류,이름,런치,디너,예약,소재지,Latitude,Longitude,링크
1,엔트리급,와사이진, X ," 77,000 ",네이버예약,서울 강남구 언주로 615 1층 상가 103호,37.51047,127.0357802,"https://map.naver.com/v5/entry/place/1365918313?c=14141519.0567551,4510445.1325229,16,0,0,0,dh"
2,엔트리급,스시츠루," 35,000 "," 75,000 ",확인필요,서울 강남구 테헤란로14길 8 강남역두산위브센티움 지하1층,37.4987663,127.0329383,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B8%A0%EB%A3%A8/place/64801706?c=14140776.1843864,4508843.5379146,15,0,0,0,dh"
3,엔트리급,닌스시," 45,000 "," 90,000 ",전화,서울 강남구 역삼로7길 17,37.4951105,127.0325557,"https://map.naver.com/v5/search/%EB%8B%8C%EC%8A%A4%EC%8B%9C/place/34753394?c=14140792.9049864,4508862.6471717,14,0,0,0,dh"
4,엔트리급,스시카이," 40,000 "," 100,000 ",캐치테이블,서울 서초구 반포대로26길 29,37.4906498,127.010731,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B9%B4%EC%9D%B4/place/1027276564?c=14138306.5610891,4507725.2948092,15,0,0,0,dh"
5,엔트리급,스시사랑," 50,000 "," 100,000 ",전화,서울 서초구 반포대로26길 10 진흥펠리체 1층,37.4899927,127.0099469,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%82%AC%EB%9E%91/place/834643628?c=14138212.8857376,4507638.0019697,15,0,0,0,dh"
6,엔트리급,스시마카세(역삼)," 50,000 "," 100,000 ",네이버예약,서울 강남구 논현로94길 7,37.5024366,127.0369184,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%A7%88%EC%B9%B4%EC%84%B8/place/1491984679?c=14140310.3962453,4508843.5379146,14,0,0,0,dh"
7,엔트리급,스시마카세(남부)," 50,000 "," 100,000 ",네이버예약,서울 서초구 서초중앙로 42,37.4857289,127.0160956,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%A7%88%EC%B9%B4%EC%84%B8/place/36166214?c=14138917.3488712,4507047.3142759,15,0,0,0,dh"
8,미들급,스시츠바사," 55,000 "," 105,000 ","캐치테이블, 문자",서울 강남구 강남대로156길 31-4 1층,37.5189822,127.0217486,"https://map.naver.com/v5/entry/place/1292591534?c=14139988.8232787,4511699.6000947,18,0,0,0,dh"
9,미들급,카메스시," 50,000 "," 120,000 ",네이버예약 / 캐치테이블,서울 강남구 선릉로121길 7,37.5138254,127.0417458,"https://map.naver.com/v5/search/%EC%B9%B4%EB%A9%94%EC%8A%A4%EC%8B%9C/place/1271618346?c=14141294.5229845,4510983.7747066,14,0,0,0,dh"
10,미들급,와려," 60,000 "," 120,000 ",전화,서울 강남구 테헤란로98길 28 2층 2호,37.5065021,127.0627944,"https://map.naver.com/v5/search/%EC%99%80%EB%A0%A4/place/1249521238?c=14144103.5837740,4509949.4861676,15,0,0,0,dh"
